mid,radiant_won
3,0.71
7,0.485
9,0.245
10,0.58
12,0.275
13,0.245
14,0.415
15,0.41
16,0.21
17,0.235
18,0.475
19,0.525
21,0.42
22,0.83
23,0.65
24,0.65
25,0.81
29,0.59
32,0.805
33,0.645
34,0.84
36,0.34
38,0.82
39,0.69
40,0.655
41,0.65
42,0.64
44,0.61
45,0.905
46,0.605
47,0.565
50,0.51
51,0.11
54,0.495
60,0.36
72,0.225
75,0.665
78,0.55
80,0.09
86,0.34
87,0.705
89,0.365
91,0.565
94,0.405
103,0.3
105,0.575
106,0.32
108,0.655
109,0.845
112,0.395
114,0.515
115,0.295
116,0.445
118,0.48
123,0.56
126,0.815
127,0.495
129,0.755
131,0.925
132,0.855
135,0.405
136,0.395
138,0.435
139,0.515
140,0.435
143,0.755
144,0.175
145,0.65
146,0.4
147,0.935
150,0.455
155,0.69
159,0.77
160,0.51
162,0.65
166,0.525
168,0.19
170,0.49
172,0.565
174,0.67
180,0.345
181,0.355
182,0.415
183,0.21
184,0.585
185,0.79
186,0.415
188,0.425
189,0.6
192,0.315
193,0.515
195,0.235
197,0.915
201,0.53
202,0.585
203,0.305
206,0.6
208,0.875
212,0.435
215,0.455
218,0.505
220,0.55
221,0.13
222,0.51
223,0.3
224,0.16
228,0.875
229,0.41
231,0.55
232,0.605
235,0.785
240,0.75
242,0.42
247,0.245
249,0.475
251,0.215
252,0.7
253,0.15
254,0.74
255,0.77
260,0.82
262,0.125
263,0.425
264,0.71
265,0.39
266,0.55
268,0.08
270,0.54
274,0.61
275,0.205
278,0.42
282,0.54
283,0.49
289,0.45
290,0.435
292,0.615
297,0.165
298,0.35
300,0.27
302,0.5
303,0.645
305,0.675
306,0.5
309,0.035
310,0.42
311,0.3
312,0.435
316,0.715
317,0.405
318,0.595
319,0.305
322,0.115
325,0.4
327,0.66
328,0.195
330,0.64
331,0.405
332,0.27
333,0.695
334,0.225
335,0.455
336,0.615
338,0.665
340,0.43
341,0.125
342,0.68
345,0.61
348,0.455
350,0.445
351,0.68
353,0.615
358,0.565
359,0.48
360,0.57
365,0.54
368,0.275
369,0.745
370,0.685
371,0.32
372,0.655
374,0.48
377,0.71
379,0.74
380,0.165
382,0.38
383,0.635
386,0.415
388,0.695
390,0.425
391,0.5
393,0.825
394,0.57
395,0.4
399,0.335
400,0.65
402,0.445
404,0.54
405,0.535
408,0.21
409,0.75
412,0.715
413,0.605
417,0.845
420,0.38
421,0.705
422,0.53
423,0.585
425,0.29
428,0.56
435,0.62
440,0.185
441,0.195
442,0.695
445,0.74
446,0.4
447,0.515
449,0.5
452,0.61
453,0.355
454,0.565
455,0.355
457,0.645
458,0.51
459,0.53
460,0.645
461,0.56
463,0.705
466,0.68
468,0.695
476,0.445
477,0.3
478,0.345
479,0.94
480,0.585
483,0.685
484,0.455
487,0.94
489,0.775
492,0.495
493,0.385
495,0.225
498,0.48
502,0.455
503,0.27
506,0.22
507,0.615
511,0.43
514,0.545
517,0.825
518,0.205
522,0.935
523,0.875
526,0.75
531,0.715
541,0.345
542,0.275
544,0.605
545,0.685
547,0.775
549,0.485
550,0.27
552,0.84
554,0.345
555,0.255
556,0.615
557,0.245
558,0.91
559,0.47
560,0.61
561,0.78
562,0.82
563,0.695
564,0.275
566,0.305
570,0.575
572,0.425
574,0.61
575,0.365
576,0.535
578,0.635
581,0.61
582,0.62
583,0.665
584,0.24
585,0.56
586,0.5
588,0.675
592,0.36
593,0.785
594,0.64
595,0.635
596,0.77
597,0.81
600,0.425
603,0.165
606,0.54
607,0.535
608,0.35
609,0.3
613,0.495
614,0.785
618,0.815
622,0.765
623,0.205
624,0.155
626,0.575
627,0.5
630,0.44
631,0.255
632,0.77
633,0.71
635,0.65
637,0.495
638,0.39
639,0.645
641,0.665
642,0.705
644,0.565
648,0.57
649,0.57
650,0.62
651,0.55
652,0.385
653,0.74
654,0.675
655,0.34
656,0.47
658,0.68
660,0.82
661,0.625
662,0.51
663,0.61
666,0.225
667,0.24
669,0.58
670,0.565
671,0.575
672,0.555
674,0.61
676,0.34
677,0.67
678,0.38
679,0.205
684,0.59
685,0.3
686,0.665
687,0.425
688,0.295
691,0.575
692,0.64
696,0.685
697,0.355
701,0.585
703,0.31
705,0.635
706,0.49
707,0.69
708,0.37
710,0.325
712,0.525
715,0.365
717,0.325
718,0.56
725,0.135
726,0.725
730,0.76
732,0.68
735,0.81
737,0.695
738,0.805
739,0.43
740,0.305
741,0.79
744,0.52
745,0.59
747,0.38
751,0.55
752,0.085
754,0.555
755,0.435
756,0.025
757,0.8
758,0.535
759,0.4
760,0.35
761,0.615
762,0.305
763,0.51
764,0.32
765,0.24
766,0.17
768,0.425
769,0.735
770,0.645
772,0.81
773,0.865
774,0.71
777,0.295
779,0.305
780,0.45
781,0.405
782,0.82
785,0.39
787,0.74
791,0.755
793,0.395
794,0.3
796,0.42
797,0.62
798,0.73
799,0.665
800,0.87
801,0.645
808,0.685
810,0.67
812,0.605
814,0.445
818,0.46
820,0.48
821,0.47
824,0.46
826,0.31
827,0.68
828,0.65
829,0.265
832,0.35
835,0.42
838,0.51
839,0.65
840,0.835
843,0.71
844,0.24
845,0.645
850,0.36
852,0.615
853,0.565
855,0.49
860,0.125
861,0.785
863,0.39
872,0.525
873,0.47
874,0.5
877,0.32
878,0.485
879,0.46
881,0.44
883,0.875
884,0.6
885,0.315
888,0.61
892,0.68
895,0.625
897,0.695
898,0.38
901,0.44
903,0.58
905,0.555
910,0.26
911,0.33
912,0.815
914,0.825
915,0.56
916,0.51
919,0.565
920,0.365
921,0.29
923,0.715
925,0.865
926,0.325
929,0.39
931,0.44
934,0.505
935,0.555
936,0.735
937,0.6
946,0.63
948,0.205
950,0.485
951,0.365
952,0.895
953,0.535
954,0.66
958,0.495
965,0.405
966,0.42
968,0.6
970,0.395
971,0.185
972,0.125
973,0.47
976,0.66
978,0.79
979,0.545
980,0.605
981,0.605
982,0.445
985,0.62
988,0.13
989,0.53
990,0.415
992,0.56
994,0.765
995,0.635
996,0.455
997,0.865
999,0.64
1000,0.63
1002,0.405
1003,0.53
1004,0.395
1005,0.68
1006,0.33
1007,0.33
1008,0.24
1009,0.105
1013,0.695
1016,0.73
1017,0.55
1019,0.345
1020,0.855
1022,0.53
1026,0.815
1027,0.375
1028,0.63
1030,0.435
1032,0.53
1034,0.325
1042,0.715
1045,0.32
1047,0.42
1049,0.24
1053,0.215
1057,0.285
1062,0.565
1064,0.47
1067,0.83
1069,0.53
1073,0.7
1075,0.45
1076,0.52
1079,0.36
1083,0.56
1084,0.48
1085,0.64
1087,0.485
1088,0.485
1095,0.55
1099,0.72
1100,0.39
1101,0.23
1102,0.72
1104,0.76
1105,0.49
1107,0.36
1108,0.465
1109,0.23
1111,0.485
1114,0.73
1115,0.595
1117,0.355
1119,0.445
1121,0.285
1123,0.555
1124,0.425
1126,0.52
1128,0.745
1129,0.67
1130,0.48
1134,0.84
1135,0.4
1137,0.405
1138,0.265
1142,0.325
1143,0.725
1146,0.43
1150,0.045
1151,0.41
1152,0.93
1153,0.295
1154,0.435
1155,0.605
1156,0.875
1157,0.26
1159,0.525
1160,0.54
1161,0.78
1163,0.285
1166,0.585
1167,0.5
1168,0.575
1169,0.68
1174,0.245
1175,0.335
1177,0.35
1178,0.5
1179,0.52
1180,0.555
1181,0.83
1182,0.22
1184,0.19
1186,0.715
1187,0.62
1189,0.655
1190,0.78
1191,0.305
1194,0.435
1196,0.37
1198,0.56
1200,0.425
1202,0.48
1203,0.615
1204,0.57
1205,0.54
1207,0.485
1208,0.635
1209,0.36
1210,0.725
1211,0.56
1213,0.63
1215,0.575
1216,0.075
1219,0.455
1223,0.365
1230,0.65
1232,0.495
1234,0.68
1235,0.71
1236,0.725
1237,0.27
1238,0.47
1239,0.6
1240,0.17
1241,0.535
1242,0.42
1243,0.74
1244,0.515
1245,0.425
1246,0.795
1250,0.28
1251,0.43
1252,0.535
1254,0.275
1255,0.25
1256,0.95
1257,0.43
1260,0.375
1261,0.715
1262,0.74
1263,0.78
1266,0.36
1267,0.2
1274,0.545
1275,0.57
1276,0.19
1277,0.805
1280,0.555
1281,0.835
1284,0.7
1285,0.875
1286,0.065
1287,0.305
1289,0.775
1290,0.73
1291,0.575
1293,0.26
1294,0.43
1296,0.57
1298,0.68
1301,0.71
1302,0.66
1303,0.765
1306,0.76
1307,0.28
1311,0.73
1312,0.72
1316,0.68
1318,0.19
1320,0.675
1327,0.655
1330,0.715
1332,0.51
1334,0.56
1336,0.59
1338,0.48
1339,0.56
1341,0.55
1342,0.42
1345,0.195
1347,0.245
1348,0.435
1349,0.565
1351,0.665
1357,0.275
1358,0.595
1361,0.315
1363,0.565
1364,0.695
1365,0.88
1367,0.73
1368,0.34
1370,0.925
1371,0.46
1372,0.67
1373,0.73
1375,0.345
1378,0.55
1381,0.205
1382,0.445
1383,0.61
1388,0.62
1393,0.725
1395,0.295
1396,0.3
1397,0.7
1398,0.325
1399,0.52
1400,0.875
1403,0.17
1406,0.68
1407,0.38
1409,0.58
1411,0.595
1413,0.39
1414,0.64
1415,0.305
1419,0.15
1420,0.53
1423,0.35
1424,0.465
1425,0.37
1426,0.52
1427,0.615
1428,0.455
1429,0.365
1431,0.305
1433,0.47
1435,0.67
1436,0.2
1437,0.52
1438,0.69
1439,0.6
1440,0.49
1441,0.55
1447,0.09
1448,0.54
1449,0.75
1451,0.665
1454,0.685
1455,0.395
1457,0.51
1458,0.25
1460,0.63
1462,0.76
1463,0.71
1466,0.63
1467,0.45
1468,0.32
1469,0.485
1470,0.46
1471,0.375
1472,0.315
1473,0.565
1477,0.28
1478,0.52
1479,0.425
1480,0.335
1481,0.485
1483,0.535
1485,0.225
1488,0.36
1489,0.345
1490,0.435
1494,0.605
1496,0.565
1497,0.74
1500,0.555
1501,0.48
1502,0.775
1504,0.855
1505,0.535
1508,0.195
1509,0.465
1513,0.745
1514,0.135
1515,0.695
1518,0.335
1519,0.52
1522,0.28
1523,0.445
1528,0.375
1531,0.79
1532,0.195
1535,0.43
1536,0.865
1537,0.525
1538,0.645
1539,0.63
1543,0.195
1547,0.5
1549,0.21
1550,0.49
1551,0.715
1552,0.615
1553,0.355
1554,0.82
1559,0.43
1564,0.525
1567,0.785
1569,0.62
1575,0.395
1576,0.59
1579,0.735
1580,0.585
1581,0.475
1582,0.53
1583,0.64
1584,0.525
1585,0.53
1586,0.435
1587,0.58
1588,0.4
1589,0.545
1592,0.455
1593,0.605
1594,0.59
1596,0.6
1599,0.44
1603,0.64
1606,0.475
1607,0.205
1609,0.605
1611,0.44
1614,0.33
1615,0.395
1616,0.2
1617,0.655
1619,0.75
1620,0.455
1622,0.43
1623,0.295
1624,0.115
1627,0.555
1629,0.8
1631,0.665
1632,0.615
1637,0.665
1638,0.635
1639,0.315
1640,0.545
1641,0.56
1642,0.705
1648,0.485
1651,0.57
1653,0.41
1654,0.56
1655,0.36
1656,0.145
1662,0.545
1667,0.78
1670,0.365
1674,0.695
1675,0.63
1680,0.345
1682,0.685
1684,0.47
1687,0.555
1688,0.355
1695,0.635
1696,0.56
1701,0.325
1702,0.565
1704,0.55
1708,0.515
1712,0.325
1715,0.435
1716,0.485
1719,0.64
1720,0.645
1722,0.86
1723,0.455
1724,0.51
1727,0.41
1729,0.74
1733,0.62
1734,0.45
1735,0.51
1736,0.275
1737,0.705
1741,0.475
1743,0.305
1744,0.9
1746,0.68
1747,0.52
1748,0.75
1749,0.43
1750,0.345
1753,0.33
1755,0.865
1757,0.45
1759,0.655
1760,0.4
1761,0.86
1763,0.325
1764,0.71
1766,0.64
1767,0.765
1768,0.575
1769,0.48
1770,0.165
1772,0.235
1773,0.26
1774,0.73
1775,0.24
1777,0.485
1780,0.035
1783,0.495
1784,0.395
1786,0.375
1787,0.44
1788,0.665
1789,0.39
1790,0.13
1792,0.165
1793,0.535
1794,0.345
1800,0.525
1803,0.645
1808,0.335
1813,0.585
1826,0.315
1827,0.515
1830,0.54
1831,0.285
1832,0.485
1834,0.765
1835,0.215
1836,0.445
1837,0.82
1840,0.275
1841,0.305
1842,0.63
1849,0.31
1851,0.28
1856,0.125
1858,0.72
1859,0.56
1861,0.765
1864,0.53
1865,0.365
1867,0.34
1868,0.665
1871,0.265
1874,0.16
1875,0.61
1877,0.625
1878,0.715
1879,0.56
1880,0.675
1884,0.505
1885,0.365
1886,0.4
1890,0.45
1894,0.395
1896,0.345
1897,0.24
1899,0.62
1900,0.625
1902,0.37
1903,0.435
1904,0.595
1906,0.455
1907,0.04
1909,0.59
1918,0.185
1923,0.79
1924,0.75
1926,0.63
1927,0.63
1928,0.96
1932,0.33
1934,0.425
1935,0.15
1937,0.23
1942,0.405
1945,0.575
1946,0.28
1947,0.59
1948,0.355
1949,0.485
1950,0.42
1951,0.55
1953,0.65
1956,0.55
1957,0.855
1958,0.275
1959,0.56
1963,0.905
1964,0.26
1966,0.2
1968,0.56
1969,0.52
1970,0.34
1972,0.445
1974,0.255
1975,0.61
1976,0.535
1977,0.55
1979,0.185
1980,0.67
1981,0.77
1983,0.66
1985,0.93
1986,0.54
1991,0.42
1992,0.465
1993,0.7
1994,0.435
1995,0.675
1996,0.42
1997,0.645
1998,0.62
1999,0.15
2000,0.69
2003,0.18
2005,0.48
2008,0.27
2010,0.645
2013,0.335
2015,0.49
2017,0.395
2021,0.575
2022,0.655
2023,0.92
2024,0.585
2025,0.93
2027,0.595
2030,0.56
2031,0.265
2034,0.35
2035,0.455
2037,0.635
2040,0.935
2041,0.55
2042,0.575
2046,0.205
2049,0.74
2054,0.935
2055,0.81
2057,0.51
2058,0.53
2059,0.505
2060,0.9
2061,0.465
2067,0.785
2068,0.7
2070,0.695
2071,0.93
2072,0.59
2073,0.58
2078,0.765
2079,0.67
2080,0.73
2081,0.645
2083,0.57
2085,0.73
2086,0.655
2088,0.675
2091,0.87
2094,0.69
2095,0.535
2096,0.635
2097,0.31
2098,0.32
2100,0.055
2102,0.82
2106,0.645
2112,0.62
2115,0.825
2116,0.095
2117,0.61
2122,0.8
2123,0.575
2124,0.525
2126,0.17
2128,0.565
2129,0.805
2132,0.42
2133,0.595
2135,0.145
2137,0.335
2140,0.745
2143,0.955
2153,0.63
2156,0.565
2159,0.54
2161,0.715
2163,0.595
2169,0.6
2170,0.35
2171,0.37
2173,0.665
2174,0.58
2177,0.52
2182,0.515
2183,0.5
2184,0.875
2185,0.745
2186,0.55
2188,0.165
2189,0.555
2193,0.225
2194,0.585
2195,0.715
2196,0.19
2199,0.605
2202,0.5
2203,0.69
2204,0.76
2205,0.465
2210,0.425
2212,0.445
2214,0.375
2215,0.66
2219,0.625
2220,0.535
2223,0.625
2224,0.76
2228,0.465
2230,0.475
2232,0.13
2233,0.515
2234,0.65
2236,0.495
2238,0.495
2241,0.805
2242,0.395
2243,0.415
2246,0.42
2250,0.405
2252,0.285
2253,0.485
2261,0.28
2263,0.57
2267,0.545
2269,0.215
2270,0.62
2273,0.64
2274,0.8
2275,0.59
2277,0.65
2279,0.56
2280,0.32
2281,0.465
2283,0.365
2284,0.245
2285,0.795
2287,0.515
2289,0.31
2290,0.665
2292,0.83
2296,0.66
2297,0.6
2298,0.385
2299,0.54
2302,0.39
2303,0.7
2306,0.66
2308,0.8
2311,0.745
2314,0.725
2317,0.5
2319,0.625
2324,0.785
2326,0.865
2328,0.59
2329,0.26
2332,0.53
2335,0.715
2339,0.57
2340,0.675
2342,0.635
2344,0.275
2345,0.185
2346,0.46
2348,0.675
2350,0.4
2351,0.545
2352,0.59
2354,0.315
2355,0.6
2358,0.47
2359,0.65
2360,0.725
2362,0.405
2363,0.535
2364,0.39
2365,0.565
2370,0.765
2378,0.635
2379,0.87
2384,0.305
2385,0.315
2386,0.7
2388,0.6
2389,0.64
2390,0.575
2393,0.41
2396,0.82
2398,0.63
2400,0.82
2402,0.605
2403,0.56
2406,0.54
2407,0.73
2408,0.67
2411,0.85
2413,0.635
2414,0.55
2417,0.92
2418,0.605
2420,0.45
2422,0.22
2423,0.33
2424,0.54
2425,0.385
2426,0.745
2427,0.56
2429,0.63
2430,0.555
2431,0.685
2432,0.47
2433,0.39
2434,0.315
2436,0.555
2437,0.66
2440,0.505
2441,0.2
2443,0.685
2446,0.21
2447,0.675
2449,0.5
2453,0.85
2455,0.93
2459,0.77
2460,0.63
2462,0.75
2464,0.325
2466,0.49
2470,0.63
2472,0.385
2474,0.47
2475,0.575
2476,0.5
2477,0.64
2480,0.295
2482,0.155
2486,0.525
2487,0.66
2494,0.245
2495,0.61
2497,0.49
2498,0.505
2500,0.4
2501,0.24
2503,0.325
2504,0.83
2505,0.58
2506,0.61
2507,0.385
2508,0.6
2509,0.735
2510,0.28
2511,0.3
2520,0.275
2521,0.7
2522,0.565
2523,0.625
2525,0.25
2526,0.67
2527,0.685
2530,0.72
2533,0.62
2534,0.465
2535,0.49
2536,0.895
2537,0.71
2540,0.405
2542,0.53
2543,0.505
2548,0.67
2551,0.605
2552,0.435
2554,0.61
2555,0.475
2557,0.595
2559,0.68
2561,0.375
2562,0.28
2563,0.11
2565,0.28
2569,0.27
2570,0.615
2571,0.235
2577,0.845
2579,0.64
2581,0.695
2583,0.655
2588,0.625
2594,0.38
2597,0.49
2598,0.365
2600,0.035
2601,0.26
2602,0.425
2603,0.25
2607,0.665
2609,0.375
2613,0.52
2615,0.56
2616,0.535
2620,0.45
2623,0.78
2624,0.635
2627,0.435
2634,0.49
2635,0.485
2636,0.92
2638,0.395
2639,0.31
2642,0.69
2644,0.585
2647,0.56
2648,0.725
2649,0.325
2650,0.85
2659,0.67
2660,0.605
2662,0.76
2663,0.155
2665,0.67
2668,0.675
2669,0.575
2673,0.465
2675,0.335
2677,0.415
2682,0.24
2684,0.195
2685,0.62
2686,0.305
2687,0.48
2688,0.59
2690,0.255
2691,0.605
2692,0.315
2693,0.61
2696,0.375
2698,0.245
2699,0.415
2701,0.51
2703,0.5
2704,0.19
2706,0.755
2707,0.555
2709,0.23
2710,0.39
2711,0.645
2712,0.62
2713,0.69
2715,0.41
2718,0.465
2720,0.37
2722,0.295
2723,0.39
2729,0.405
2732,0.805
2733,0.88
2737,0.355
2738,0.37
2739,0.46
2744,0.555
2748,0.385
2751,0.38
2753,0.675
2757,0.53
2760,0.465
2762,0.675
2763,0.85
2765,0.53
2770,0.52
2771,0.61
2772,0.665
2776,0.66
2781,0.965
2782,0.64
2783,0.315
2784,0.33
2788,0.63
2790,0.445
2792,0.775
2794,0.975
2795,0.41
2796,0.35
2800,0.49
2801,0.4
2802,0.25
2803,0.11
2804,0.315
2805,0.71
2807,0.48
2808,0.37
2812,0.435
2813,0.52
2814,0.65
2815,0.655
2816,0.375
2819,0.7
2822,0.52
2826,0.405
2831,0.265
2832,0.48
2833,0.38
2834,0.42
2835,0.27
2840,0.435
2841,0.39
2842,0.805
2843,0.565
2846,0.465
2847,0.505
2848,0.2
2850,0.625
2851,0.535
2854,0.55
2856,0.625
2858,0.58
2859,0.54
2860,0.235
2863,0.33
2866,0.85
2871,0.495
2872,0.55
2874,0.785
2875,0.155
2876,0.3
2881,0.28
2886,0.75
2888,0.27
2889,0.66
2893,0.885
2894,0.395
2896,0.66
2897,0.475
2898,0.515
2899,0.385
2904,0.295
2906,0.535
2907,0.54
2908,0.9
2913,0.7
2914,0.69
2915,0.595
2916,0.19
2917,0.325
2918,0.525
2919,0.395
2920,0.82
2921,0.695
2922,0.75
2924,0.28
2925,0.63
2926,0.655
2927,0.125
2929,0.505
