varnum,type,Column Type
V2,char,Numeric
V3,num,Category
V4,num,Category
V5,num,Category
V6,num,Category
V7,num,Category
V8,num,Category
V9,num,Category
V10,num,Category
V11,num,Category
V12,num,Category
V13,num,Category
V14,num,Category
V15,num,Category
V16,num,Category
V17,num,Category
V18,num,Category
V19,num,Category
V20,num,Category
V21,num,Category
V22,num,Category
V23,num,Category
V24,num,Category
V25,num,Category
V26,num,Category
V27,num,Category
V28,num,Category
V29,num,Numeric
V30,num,Category
V31,num,Numeric
V32,num,Numeric
V33,num,Category
V34,char,Numeric
V35,num,Numeric
V36,num,Numeric
V37,num,Numeric
V38,num,Numeric
V39,num,Numeric
V40,num,Category
V41,num,Category
V42,num,Category
V43,num,Category
V44,num,Ordered Category
V45,num,Category
V46,num,Category
V47,num,Category
V48,num,Category
V49,num,Category
V50,num,Category
V51,num,Category
V52,num,Category
V53,num,Category
V54,num,Category
V55,num,Category
V56,num,Category
V57,num,Category
V58,num,Category
V59,num,Category
V60,num,Category
V61,num,Category
V62,num,Category
V63,num,Category
V64,num,Category
V65,num,Category
V66,num,Category
V67,num,Category
V68,num,Category
V69,num,Category
V70,num,Category
V71,num,Category
V72,num,Category
V73,num,Category
V74,num,Category
V75,num,Ordered Category
V76,num,Category
V77,num,Category
V78,num,Category
V79,num,Category
V80,num,Category
V81,num,Category
V82,num,Category
V83,num,Category
V84,num,Category
V85,num,Category
V86,num,Category
V87,num,Category
V88,num,Category
V89,num,Category
V90,num,Category
V91,num,Category
V92,num,Category
V93,num,Category
V94,num,Category
V95,num,Category
V96,num,Category
V97,num,Category
V98,num,Category
V99,num,Category
V100,num,Category
V101,num,Category
V102,num,Category
V103,num,Category
V104,num,Category
V105,num,Numeric
V106,num,Category
V107,num,Category
V108,num,Category
V109,num,Category
V110,num,Category
V111,num,Numeric
V112,num,Category
V113,num,Numeric
V114,num,Numeric
V115,num,Category
V116,num,Numeric
V117,num,Category
V118,num,Numeric
V119,num,Category
V120,num,Category
V121,num,Category
V122,num,Category
V123,num,Category
V124,num,Category
V125,num,Category
V126,num,Category
V127,num,Category
V128,num,Category
V129,num,Category
V130,num,Category
V131,num,Category
V132,num,Category
V133,num,Category
V134,num,Category
V135,num,Category
V136,num,Category
V137,num,Category
V138,num,Category
V139,num,Category
V140,num,Category
V141,num,Category
V142,num,Category
V143,num,Category
V144,num,Numeric
V145,num,Category
V146,num,Category
V147,num,Category
V148,num,Category
V149,num,Numeric
V150,num,Category
V151,num,Category
V152,num,Numeric
V153,num,Category
V154,num,Category
V155,num,Category
V156,num,Category
V157,num,Numeric
V158,num,Numeric
V159,num,Category
V160,num,Category
V161,num,Numeric
V162,num,Numeric
V163,num,Category
V164,num,Category
V165,num,Numeric
V166,num,Category
V167,num,Category
V168,num,Category
V169,num,Category
V170,num,Numeric
V171,num,Category
V172,num,Category
V173,num,Category
V174,num,Category
V175,num,Numeric
V176,num,Category
V177,num,Category
V178,num,Category
V179,num,Category
V180,num,Numeric
V181,num,Category
V182,num,Category
V183,num,Category
V184,num,Category
V185,num,Category
V186,num,Numeric
V187,num,Category
V188,num,Numeric
V189,num,Numeric
V190,num,Numeric
V191,num,Numeric
V192,num,Numeric
V193,num,Numeric
V194,num,Category
V195,num,Numeric
V196,num,Category
V197,num,Numeric
V198,num,Numeric
V199,num,Numeric
V200,num,Category
V201,num,Numeric
V202,num,Category
V203,num,Numeric
V204,num,Numeric
V205,num,Numeric
V206,num,Category
V207,num,Numeric
V208,num,Numeric
V209,num,Numeric
V210,num,Ordered Category
V211,num,Category
V212,num,Category
V213,num,Category
V214,num,Category
V215,num,Category
V216,num,Ordered Category
V217,num,Category
V218,num,Category
V219,num,Category
V220,num,Category
V221,num,Category
V222,num,Category
V223,num,Category
V224,num,Category
V225,num,Category
V226,num,Category
V227,num,Category
V228,num,Category
V229,num,Ordered Category
V230,num,Ordered Category
V231,num,Ordered Category
V232,num,Ordered Category
V233,num,Ordered Category
V234,num,Ordered Category
V235,num,Numeric
V236,num,Numeric
V237,num,Numeric
V238,num,Numeric
V239,num,Numeric
V240,num,Numeric
V241,num,Numeric
V242,num,Numeric
V243,num,Numeric
V244,num,Numeric
V245,num,Numeric
V246,num,Numeric
V247,num,Numeric
V248,num,Numeric
V249,num,Numeric
V250,num,Numeric
V251,num,Numeric
V252,num,Numeric
V253,num,Numeric
V254,num,Numeric
V255,num,Numeric
V256,num,Numeric
V257,num,Numeric
V258,num,Numeric
V259,num,Numeric
V260,num,Numeric
V261,num,Numeric
V262,num,Numeric
V263,num,Numeric
V264,num,Numeric
V265,num,Numeric
V266,num,Numeric
V267,num,Numeric
V268,num,Numeric
V269,num,Numeric
V270,num,Numeric
V271,num,Numeric
V272,num,Numeric
V273,num,Numeric
V274,num,Numeric
V275,num,Numeric
V276,num,Numeric
V277,num,Numeric
V278,num,Numeric
V279,num,Numeric
V280,num,Numeric
V281,num,Numeric
V282,num,Numeric
V283,num,Numeric
V284,num,Numeric
V285,num,Numeric
V286,num,Numeric
V287,num,Numeric
V288,num,Numeric
V289,num,Numeric
V290,num,Numeric
V291,num,Numeric
V292,num,Numeric
V293,num,Numeric
V294,num,Numeric
V295,num,Numeric
V296,num,Numeric
V297,num,Numeric
V298,num,Numeric
V299,num,Numeric
V300,num,Numeric
V301,num,Ordered Category
V302,num,Numeric
V303,num,Numeric
V304,num,Numeric
V305,num,Numeric
V306,num,Numeric
V307,num,Category
V308,num,Numeric
V309,num,Ordered Category
V310,num,Numeric
V311,num,Numeric
V312,num,Numeric
V313,num,Numeric
V314,num,Numeric
V315,num,Numeric
V316,num,Numeric
V317,num,Numeric
V318,num,Numeric
V319,num,Numeric
V320,num,Numeric
V321,num,Numeric
V322,num,Numeric
V323,num,Numeric
V324,num,Numeric
V325,num,Numeric
V326,num,Numeric
V327,num,Numeric
V328,num,Numeric
V329,num,Category
V330,char,Category
V331,num,Numeric
V332,num,Category
V333,num,Category
V334,num,Category
V335,num,Category
V336,num,Category
V337,num,Category
V338,num,Category
V339,num,Category
V340,num,Category
V341,num,Category
V342,num,Category
V343,num,Category
V344,num,Category
V345,num,Category
V346,num,Category
V347,num,Category
V348,num,Category
V349,num,Category
V350,num,Category
V351,num,Category
V352,num,Category
V353,num,Category
V354,num,Category
V355,num,Category
V356,num,Category
V357,num,Category
V358,num,Category
V359,num,Category
V360,num,Category
V361,num,Category
V362,num,Category
V363,num,Category
V364,num,Category
V365,num,Category
V366,num,Category
V367,num,Category
V368,num,Category
V369,num,Category
V370,num,Category
V371,num,Category
V372,num,Category
V373,num,Category
V374,num,Category
V375,num,Category
V376,num,Category
V377,num,Category
V378,num,Category
V379,num,Category
V380,num,Category
V381,num,Category
V382,num,Category
V383,num,Category
V384,num,Category
V385,num,Category
V386,num,Category
V387,num,Category
V388,num,Category
V389,num,Category
V390,num,Category
V391,num,Category
V392,num,Category
V393,num,Category
V394,num,Category
V395,num,Category
V396,num,Category
V397,num,Category
V398,num,Category
V399,num,Category
V400,num,Category
V401,num,Category
V402,num,Category
V403,num,Category
V404,num,Category
V405,num,Category
V406,num,Category
V407,num,Category
V408,num,Category
V409,num,Category
V410,num,Category
V411,num,Category
V412,num,Category
V413,num,Category
V414,num,Category
V415,num,Category
V416,num,Category
V417,num,Category
V418,num,Category
V419,num,Category
V420,num,Category
V421,num,Category
V422,num,Category
V423,num,Category
V424,num,Category
V425,num,Category
V426,num,Category
V427,num,Category
V428,num,Category
V429,num,Category
V430,num,Category
V431,num,Category
V432,num,Category
V433,num,Category
V434,num,Category
V435,num,Category
V436,num,Category
V437,num,Category
V438,num,Category
V439,num,Category
V440,num,Category
V441,num,Category
V442,num,Category
V443,num,Category
V444,num,Category
V445,num,Category
V446,num,Category
V447,num,Category
V448,num,Category
V449,num,Category
V450,num,Category
V451,num,Category
V452,num,Category
V453,num,Category
V454,num,Category
V455,num,Category
V456,num,Category
V457,num,Category
V458,num,Category
V459,num,Category
V460,num,Category
V461,num,Category
V462,num,Category
V463,num,Category
V464,num,Category
V465,num,Category
V466,num,Category
V467,num,Category
V468,num,Category
V469,num,Category
V470,num,Category
V471,num,Category
V472,num,Category
V473,num,Category
V474,num,Category
V475,num,Category
V476,num,Category
V477,num,Category
V478,num,Category
V479,num,Category
V480,num,Category
V481,num,Category
V482,num,Category
V483,num,Category
V484,num,Category
V485,num,Category
V486,num,Category
V487,num,Category
V488,num,Category
V489,num,Category
V490,num,Category
V491,num,Category
V492,num,Category
V493,num,Category
V494,num,Category
V495,num,Category
V496,num,Category
V497,num,Category
V498,num,Category
V499,num,Category
V500,num,Category
V501,num,Category
V502,num,Category
V503,num,Category
V504,num,Category
V505,num,Category
V506,num,Category
V507,num,Category
V508,num,Category
V509,num,Category
V510,num,Category
V511,num,Category
V512,num,Category
V513,num,Category
V514,num,Category
V515,num,Category
V516,num,Category
V517,num,Category
V518,num,Category
V519,num,Category
V520,num,Category
V521,num,Category
V522,num,Category
V523,num,Category
V524,num,Category
V525,num,Category
V526,num,Category
V527,num,Category
V528,num,Category
V529,num,Category
V530,num,Category
V531,num,Category
V532,num,Category
V533,num,Category
V534,num,Category
V535,num,Category
V536,num,Category
V537,num,Category
V538,num,Category
V539,num,Category
V540,num,Category
V541,num,Category
V542,num,Category
V543,num,Category
V544,num,Category
V545,num,Category
V546,num,Category
V547,num,Category
V548,num,Category
V549,num,Category
V550,num,Category
V551,num,Category
V552,num,Category
V553,num,Category
V554,num,Category
V555,num,Category
V556,num,Category
V557,num,Category
V558,num,Category
V559,num,Category
V560,num,Category
V561,num,Category
V562,num,Category
V563,num,Category
V564,num,Category
V565,num,Category
V566,num,Category
V567,num,Category
V568,num,Category
V569,num,Category
V570,num,Category
V571,num,Category
V572,num,Category
V573,num,Category
V574,num,Category
V575,num,Category
V576,num,Category
V577,num,Category
V578,num,Category
V579,num,Category
V580,num,Category
V581,num,Category
V582,num,Category
V583,num,Category
V584,num,Category
V585,num,Category
V586,num,Category
V587,num,Category
V588,num,Category
V589,num,Category
V590,num,Category
V591,num,Category
V592,num,Category
V593,num,Category
V594,num,Category
V595,num,Category
V596,num,Category
V597,num,Category
V598,num,Category
V599,num,Category
V600,num,Category
V601,num,Category
V602,num,Category
V603,num,Category
V604,num,Category
V605,num,Category
V606,num,Category
V607,num,Category
V608,num,Category
V609,num,Category
V610,num,Category
V611,num,Category
V612,num,Category
V613,num,Category
V614,num,Category
V615,num,Category
V616,num,Category
V617,num,Category
V618,num,Category
V619,num,Category
V620,num,Category
V621,num,Category
V622,num,Category
V623,num,Category
V624,num,Category
V625,num,Category
V626,num,Category
V627,num,Category
V628,num,Category
V629,num,Category
V630,num,Category
V631,num,Category
V632,num,Category
V633,num,Category
V634,num,Category
V635,num,Category
V636,num,Category
V637,num,Category
V638,num,Category
V639,num,Category
V640,num,Category
V641,num,Category
V642,num,Category
V643,num,Category
V644,num,Category
V645,num,Category
V646,num,Category
V647,num,Category
V648,num,Category
V649,num,Category
V650,num,Category
V651,num,Category
V652,num,Category
V653,num,Category
V654,num,Category
V655,num,Category
V656,num,Category
V657,num,Category
V658,num,Category
V659,num,Category
V660,num,Category
V661,num,Category
V662,num,Category
V663,num,Category
V664,num,Category
V665,num,Category
V666,num,Category
V667,num,Category
V668,num,Category
V669,num,Category
V670,num,Category
V671,num,Category
V672,num,Category
V673,num,Category
V674,num,Category
V675,num,Category
V676,num,Category
V677,num,Category
V678,num,Category
V679,num,Category
V680,num,Category
V681,num,Category
V682,num,Category
V683,num,Category
V684,num,Category
V685,num,Category
V686,num,Category
V687,num,Category
V688,num,Category
V689,num,Category
V690,num,Category
V691,num,Category
V692,num,Category
V693,num,Category
V694,num,Category
V695,num,Category
V696,num,Category
V697,num,Category
V698,num,Category
V699,num,Category
V700,num,Category
V701,num,Category
V702,num,Category
V703,num,Category
V704,num,Category
V705,num,Category
V706,num,Category
V707,num,Category
V708,num,Category
V709,num,Category
V710,num,Category
V711,num,Category
V712,num,Category
V713,num,Category
V714,num,Category
V715,num,Category
V716,num,Category
V717,num,Category
V718,num,Category
V719,num,Category
V720,num,Category
V721,num,Category
V722,num,Category
V723,num,Category
V724,num,Category
V725,num,Category
V726,num,Category
V727,num,Category
V728,num,Category
V729,num,Category
V730,num,Category
V731,num,Category
V732,num,Category
V733,num,Category
V734,num,Category
V735,num,Category
V736,num,Category
V737,num,Category
V738,num,Category
V739,num,Category
V740,num,Category
V741,num,Category
V742,num,Category
V743,num,Category
V744,num,Category
V745,num,Category
V746,num,Category
V747,num,Category
V748,num,Category
V749,num,Category
V750,num,Category
V751,num,Category
V752,num,Category
V753,num,Category
V754,num,Category
V755,num,Category
V756,num,Category
V757,num,Category
V758,num,Category
V759,num,Category
V760,num,Category
V761,num,Category
V762,num,Category
V763,num,Category
V764,num,Category
V765,num,Category
V766,num,Category
V767,num,Category
V768,num,Category
V769,num,Category
V770,num,Category
V771,num,Category
V772,num,Category
V773,num,Category
V774,num,Category
V775,num,Category
V776,num,Category
V777,num,Category
V778,num,Category
V779,num,Category
V780,num,Category
V781,num,Category
V782,num,Category
V783,num,Category
V784,num,Category
V785,num,Category
V786,num,Category
V787,num,Category
V788,num,Category
V789,num,Category
V790,num,Category
V791,num,Category
