id,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,7371,693,56,142,157,173,2273,4,176
1,2247,3277,56,142,355,162,893,50,165
2,4193,2996,9,65,385,329,91,18,328
3,1851,2542,56,142,157,91,726,4,93
4,5941,2781,56,158,444,222,274,9,222
5,5311,2599,56,142,32,242,2273,4,241
6,3440,2444,56,72,248,17,1809,65,20
7,6990,1727,56,158,224,48,1618,22,51
8,3555,3622,56,99,129,341,274,21,341
9,669,2412,56,43,327,162,155,50,165
10,2080,3880,56,142,297,194,1925,66,198
11,4931,1220,54,143,341,149,389,3,154
12,953,1544,56,142,430,249,893,50,248
13,49,1502,56,16,164,194,756,66,198
14,2837,476,112,53,203,260,344,66,285
15,203,371,56,142,423,249,893,50,248
16,763,1088,56,5,273,240,384,66,178
17,2332,1319,9,11,325,308,920,48,250
18,1397,36,56,5,82,249,893,50,248
19,6692,3935,56,158,348,249,893,50,248
20,1838,2096,37,44,284,18,734,46,21
21,1877,3650,56,57,230,238,1021,50,237
22,800,1606,56,5,404,216,952,23,217
23,6599,3490,36,41,222,154,798,0,158
24,4040,1818,13,60,240,299,385,0,112
25,6552,172,61,78,216,154,798,0,158
26,6005,211,46,54,219,156,895,66,113
27,3091,96,56,16,374,341,274,21,341
28,39,3917,56,142,399,0,893,50,0
29,5168,2714,56,16,374,287,384,20,290
30,1618,3274,56,16,156,215,2179,20,65
31,1335,1725,92,125,222,159,798,66,162
32,2536,3857,56,33,440,194,1301,66,198
33,2481,750,56,158,407,249,893,50,248
34,3065,598,56,16,201,162,893,50,165
35,2020,4129,56,33,226,194,1095,66,198
36,198,4074,56,16,377,189,1175,9,193
37,4321,1644,56,5,311,144,65,56,149
38,5670,3617,56,158,407,168,1345,12,170
39,595,2586,56,142,316,274,726,4,274
40,4793,505,110,151,240,154,881,0,158
41,3961,1232,56,5,181,242,187,4,241
42,1120,3049,31,91,296,249,893,50,248
43,557,3274,56,16,156,341,274,21,341
44,5382,849,56,33,447,303,2203,58,304
45,5306,3585,80,110,330,8,275,4,9
46,6233,4135,69,92,368,341,1583,21,341
47,4170,3085,50,59,216,154,879,0,158
48,3155,675,94,128,216,154,995,0,158
49,4208,2541,56,158,348,249,893,50,248
50,3323,481,56,16,382,187,566,25,191
51,1424,234,56,142,139,0,2066,50,0
52,6065,3721,101,141,205,36,1785,24,40
53,363,3271,56,16,328,316,919,20,316
54,3820,2535,67,85,259,154,798,0,158
55,201,1420,79,109,222,299,886,0,112
56,241,177,88,120,320,308,1105,48,250
57,4781,2036,56,16,201,208,409,50,208
58,4407,3305,56,142,423,162,1193,50,165
59,2866,1215,56,99,340,326,610,19,325
