Id,Label
1,12
2,12
3,16
4,16
5,19
6,15
7,4
8,1
9,37
10,7
11,29
12,14 18 50
13,8 13
14,37
15,19
16,4 13
17,13
18,5 8
19,43
20,8
21,8
22,29
23,13
24,13
25,16
26,9
27,12
28,43
29,13
30,43
31,32
32,2
33,37 48
34,12
35,12
36,13
37,19
38,16
39,16
40,3
41,16
42,1 12 16 71
43,12
44,13
45,7
46,13
47,35
48,4 29
49,4
50,19
51,21
52,12
53,12
54,13
55,13
56,5 8
57,17
58,43
59,4
60,2 13 21 25 34
61,1
62,2 14 18 43 50
63,14
64,35
65,16
66,1 12
67,29
68,23
69,1
70,19
71,12
72,1
73,2
74,12
75,17
76,1
77,4
78,4
79,13
80,17
81,19
82,17
83,16
84,16
85,2
86,2 14 18 50
87,16
88,17
89,1
90,17
91,13
92,13 29
93,40
94,44
95,13
96,19
97,2
98,4
99,15
100,7 15
101,7
102,2
103,71
104,1 12
105,3 64
106,3 64
107,43 44
108,25
109,19
110,37
111,40
112,2
113,19
114,22
115,14
116,22
117,4
118,28
119,37 48
120,48
121,32
122,23
123,23
124,12
125,17
126,17
127,13
128,13
129,2
130,13
131,3
132,3 26
133,37
134,19
135,1
136,16
137,1
138,1 12
139,4
140,1
141,29
142,13 31
143,2
144,1
145,1
146,2 42
147,62
148,13
149,2
150,13 29
151,2
152,12
153,8
154,12
155,1
156,12
157,18 21 34
158,13
159,13
160,37
161,37
162,9
163,13
164,3 38
165,13
166,9
167,14
168,2
169,2
170,27
171,1 12
172,40
173,23 29 55
174,13
175,8
176,14
177,52
178,13
179,12
180,40
181,32
182,37
183,37
184,23 55
185,37
186,37
187,2
188,14
189,17
190,3 4 14 38
191,13
192,4
193,21
194,36
195,16
196,15
197,13
198,4 15
199,4
200,7
201,7
202,22 44
203,12
204,2
205,2 21
206,1 12
207,2
208,17
209,17
210,83
211,8
212,43
213,9
214,9
215,3
216,15
217,3 78
218,3 14 38
219,17
220,45
221,14
222,9
223,19
224,2
225,2 42
226,17
227,14
228,2 42
229,2
230,2
231,17
232,37
233,19
234,2
235,8
236,8
237,38
238,2 7 31
239,32
240,18
241,2
242,40
243,29 38
244,29
245,50
246,45
247,46 48
248,2
249,2
250,42
251,21 34
252,2
253,2
254,8
255,42
256,37
257,19
258,19
259,19
260,13
261,13 14
262,19
263,43
264,17
265,2
266,42
267,2
268,17
269,2 42
270,17
271,13
272,44 47
273,2
274,2
275,2
276,35
277,29
278,37
279,3
280,37
281,7
282,2 42
283,19
284,2
285,51
286,15
287,2
288,37
289,37
290,15
291,9
292,2
293,28
294,15
295,3 28
296,3
297,3 40
298,2 3
299,35
300,35
